Id	text	user_location
198	vaksinasi lambat salah satu banyak upacara mau vaksinasi pakai salam pakai road show bikin lambat politisasi capek begini	Banyuwangi-Indonesia
199	salah satu salah baru jalan as indonesia kurang juta bukan susut kirim vaksin covid moderna as indonesia memang jadi tahap tahap pertama banyak dosis vaksin moderna tiba juli tahap desember	Batam
200	vaksin covid beri kebal bunuh virus cegah mati jamin bebas henti sebar orang hilang perlu batas jalan tutup topeng bisnis	Batam-Indonesia
201	paruh keluarga besar infeksi covid vaksin hari isoman sembuh tinggal mertua kakak mau vaksin kisah nyata bukan saran milik vaksin bantu kena	Batang, Indonesia
202	nunggu vaksin percaya kok covid alhamdulillah kabupaten zona kuning	Batang, Indonesia
203	moga bukan dar slogan kapolri tindak tegas sebar hoax putar pandemi vaksin ppkm tunggu percaya masyarakat tegak hukum	Batu Ceper, Indonesia
204	mbc kenal indonesia vaksin jelek kasus covid rendah tepuk tangan riah dulu	Batu City
205	jangan begadang sehat vaksin	Batu, Indonesia
206	bukan mau vaksin vaksin bentuk pil sirup	Baureno-Bojonegoro
207	bingung apa vaksin	Bekasi
208	dr faheem younus vaksin covid ibarat sabuk kam kurang dampak celaka	Bekasi
209	dpr minta perintah evaluasi vaksin sinovac	Bekasi
210	cileupeung paan tanggung jawab	Bekasi
211	vaksinasi pintu pintu bin sorot turut berita	Bekasi
212	vaksin psbb ppkm henti pandemi lalu apa obat mujarab lindung masyarakat covid orang teman tanya lalu jawab ganti presiden	Bekasi
213	urus vaksinasi	Bekasi
214	edukasi literasi digital hindar sebar berita hoax vaksin about	Bekasi
215	jangan pergi vaksin	Bekasi
216	ayo jeno vaksin bulan april	Bekasi
217	jangan pergi vaksin sama sekali	Bekasi
218	memang benar teman pernah imunisasi vaksin bayi badan sehat sehat malah baik pernah sakit sama sekali	Bekasi
219	kakak vaksin	Bekasi
220	penting screening sehat vaksin jujur tenang darah naik jangan lupa banyak minum air putih vaksin	Bekasi
221	memberitahu pikir china milik sinovac sinopharm beli indonesia china vaksin pfizer rakyat	Bekasi
222	baca balas banyak vaksin bawa fotokopi ktp nya arti pandemi darurat darurat darurat woyyyyy buat fotokopi halo ciri ciri birokrasi indonesia jangan dulu pakai fotokopi	Bekasi
223	hadap situasi yakin orang buat vaksin mpok biasa bersih rumah vaksinasi x hari tanya kalau vaksin ambil ambil	Bekasi - Sidoarjo - Surabaya
224	bilang vaksin pak sayang sekali vaksin x vaksin lengkap mumpung gratis laku	Bekasi - Sidoarjo - Surabaya
225	nyata mpok takut tetangga vaksin gor demam semua infus makanya takut jadi apa apa	Bekasi - Sidoarjo - Surabaya
226	status vaksinasi	Bekasi Barat, Indonesia
227	ppkm cegah ramai smartfren gokil max vaksin silah review sini check it out	Bekasi Barat, Indonesia
228	jomplang dki vaksinasi nasional bukti memang beda kelas	Bekasi Barat, Indonesia
